,carat,cut,color,depth,table,x,y,z,price
149,0.7,Ideal,E,60.9,57.0,5.73,5.76,3.5,2768
150,0.71,Premium,D,61.7,59.0,5.71,5.67,3.51,2768
151,0.74,Ideal,I,61.3,56.0,5.82,5.86,3.57,2769
152,0.71,Premium,D,62.5,60.0,5.65,5.61,3.52,2770
153,0.73,Premium,G,61.4,59.0,5.83,5.76,3.56,2770
154,0.76,Very Good,F,62.9,57.0,5.79,5.81,3.65,2770
155,0.76,Ideal,D,62.4,57.0,5.78,5.83,3.62,2770
156,0.71,Ideal,F,60.7,56.0,5.77,5.8,3.51,2770
157,0.73,Premium,G,60.7,58.0,5.87,5.82,3.55,2770
158,0.73,Premium,G,61.5,58.0,5.79,5.75,3.55,2770
159,0.73,Ideal,D,59.9,57.0,5.92,5.89,3.54,2770
161,0.72,Very Good,H,60.3,56.0,5.81,5.83,3.51,2771
162,0.73,Very Good,F,61.7,60.0,5.79,5.82,3.58,2771
163,0.71,Ideal,G,61.9,57.0,5.73,5.77,3.56,2771
164,0.79,Ideal,F,61.9,55.0,5.97,5.92,3.68,2771
165,0.73,Very Good,H,60.4,59.0,5.83,5.89,3.54,2772
166,0.8,Very Good,F,61.0,57.0,6.01,6.03,3.67,2772
167,0.58,Ideal,G,61.5,55.0,5.39,5.44,3.33,2772
168,0.58,Ideal,F,61.7,56.0,5.33,5.37,3.3,2772
170,0.75,Ideal,D,61.3,56.0,5.85,5.89,3.6,2773
172,1.17,Very Good,J,60.2,61.0,6.83,6.9,4.13,2774
173,0.6,Ideal,E,61.7,55.0,5.41,5.44,3.35,2774
174,0.7,Ideal,E,62.7,55.0,5.68,5.74,3.58,2774
176,0.74,Very Good,F,61.3,61.0,5.8,5.84,3.57,2775
177,0.72,Very Good,G,63.7,56.4,5.62,5.69,3.61,2776
178,0.71,Premium,E,62.7,58.0,5.74,5.68,3.58,2776
179,0.71,Ideal,E,62.2,57.0,5.79,5.62,3.55,2776
180,0.54,Ideal,E,61.6,56.0,5.25,5.27,3.24,2776
181,0.54,Ideal,E,61.5,57.0,5.24,5.26,3.23,2776
182,0.72,Ideal,G,61.8,56.0,5.72,5.75,3.55,2776
183,0.72,Ideal,G,60.7,56.0,5.79,5.82,3.53,2776
184,0.72,Good,G,59.7,60.5,5.8,5.84,3.47,2776
185,0.71,Ideal,G,60.5,56.0,5.8,5.76,3.5,2776
186,0.7,Very Good,D,62.7,58.0,5.66,5.73,3.57,2777
187,0.71,Premium,F,62.1,58.0,5.67,5.7,3.53,2777
188,0.71,Very Good,F,62.8,57.0,5.64,5.69,3.56,2777
189,0.71,Good,F,63.8,58.0,5.61,5.64,3.59,2777
191,0.7,Ideal,E,62.1,55.0,5.7,5.67,3.53,2777
192,0.7,Premium,E,61.1,60.0,5.71,5.64,3.47,2777
193,0.7,Premium,E,60.0,59.0,5.79,5.75,3.46,2777
194,0.7,Premium,E,61.2,57.0,5.73,5.68,3.49,2777
195,0.7,Premium,E,62.7,59.0,5.67,5.63,3.54,2777
196,0.7,Premium,E,61.0,57.0,5.73,5.68,3.48,2777
197,0.7,Premium,E,61.0,58.0,5.78,5.72,3.51,2777
198,0.7,Ideal,E,61.4,57.0,5.76,5.7,3.52,2777
199,0.72,Premium,F,61.8,61.0,5.82,5.71,3.56,2777
200,0.7,Very Good,E,59.9,63.0,5.76,5.7,3.43,2777
201,0.7,Premium,E,61.3,58.0,5.71,5.68,3.49,2777
202,0.7,Premium,E,60.5,58.0,5.77,5.74,3.48,2777
203,0.7,Good,E,64.1,59.0,5.64,5.59,3.6,2777
205,0.78,Premium,F,62.4,58.0,5.83,5.8,3.63,2777
206,0.7,Very Good,E,63.2,60.0,5.6,5.51,3.51,2777
207,0.52,Ideal,F,61.3,55.0,5.19,5.22,3.19,2778
208,0.73,Very Good,H,60.8,56.0,5.82,5.84,3.55,2779
209,0.74,Ideal,E,61.7,56.0,5.84,5.8,3.59,2779
210,0.7,Very Good,F,63.6,57.0,5.61,5.65,3.58,2780
211,0.77,Premium,G,61.2,58.0,5.9,5.93,3.62,2780
212,0.71,Ideal,F,62.1,54.0,5.68,5.72,3.54,2780
213,0.74,Ideal,G,61.5,55.0,5.81,5.86,3.59,2780
214,0.7,Ideal,G,61.4,59.0,5.64,5.73,3.49,2780
215,1.01,Premium,F,61.8,60.0,6.39,6.36,3.94,2781
216,0.77,Ideal,H,62.2,56.0,5.83,5.88,3.64,2781
217,0.78,Ideal,H,61.2,56.0,5.92,5.99,3.64,2781
218,0.72,Very Good,H,60.6,63.0,5.83,5.76,3.51,2782
220,0.76,Ideal,G,61.3,56.0,5.9,5.94,3.63,2782
222,0.7,Premium,E,62.9,60.0,5.62,5.54,3.51,2782
223,0.75,Very Good,D,63.1,58.0,5.78,5.73,3.63,2782
224,0.72,Ideal,D,60.8,57.0,5.76,5.75,3.5,2782
225,0.72,Premium,D,62.7,59.0,5.73,5.69,3.58,2782
226,0.7,Premium,D,62.8,60.0,5.68,5.66,3.56,2782
228,0.75,Premium,F,61.4,59.0,5.88,5.85,3.6,2782
229,0.52,Ideal,F,62.2,55.0,5.14,5.18,3.21,2783
230,0.72,Very Good,F,63.0,54.0,5.69,5.73,3.6,2784
231,0.79,Very Good,H,63.7,56.0,5.85,5.92,3.75,2784
232,0.72,Very Good,F,63.6,58.0,5.66,5.69,3.61,2787
233,0.51,Ideal,F,62.0,57.0,5.11,5.15,3.18,2787
234,0.64,Ideal,D,61.5,56.0,5.54,5.55,3.41,2787
235,0.7,Very Good,H,60.5,60.0,5.74,5.77,3.48,2788
236,0.83,Very Good,I,61.1,60.0,6.07,6.1,3.72,2788
237,0.76,Ideal,I,61.8,56.0,5.85,5.87,3.62,2788
238,0.71,Good,D,63.3,56.0,5.64,5.68,3.58,2788
240,0.71,Ideal,F,62.5,55.0,5.71,5.65,3.55,2788
242,1.01,Premium,H,62.7,59.0,6.31,6.22,3.93,2788
243,0.77,Good,F,64.2,52.0,5.81,5.77,3.72,2789
244,0.76,Good,E,63.7,54.0,5.76,5.85,3.7,2789
245,0.76,Premium,E,60.4,58.0,5.92,5.94,3.58,2789
246,0.76,Premium,E,61.8,58.0,5.82,5.86,3.61,2789
247,1.05,Very Good,J,63.2,56.0,6.49,6.45,4.09,2789
248,0.81,Ideal,G,61.6,56.0,5.97,6.01,3.69,2789
249,0.7,Ideal,E,61.6,56.0,5.72,5.75,3.53,2789
250,0.55,Ideal,G,60.9,57.0,5.28,5.3,3.22,2789
251,0.81,Good,G,61.0,61.0,5.94,5.99,3.64,2789
252,0.63,Premium,E,62.1,57.0,5.48,5.41,3.38,2789
253,0.63,Premium,E,60.9,60.0,5.55,5.52,3.37,2789
254,0.77,Premium,H,61.3,60.0,5.9,5.88,3.61,2789
256,0.64,Ideal,G,61.3,56.0,5.54,5.58,3.41,2790
258,0.83,Ideal,F,62.3,55.0,6.02,6.05,3.76,2790
259,0.71,Premium,F,60.1,62.0,5.77,5.74,3.46,2790
260,0.71,Premium,F,61.8,59.0,5.73,5.69,3.53,2790
261,0.87,Very Good,I,63.6,55.8,6.07,6.1,3.87,2791
262,0.73,Ideal,E,62.2,56.0,5.74,5.78,3.58,2791
264,0.71,Premium,E,61.8,59.0,5.7,5.75,3.54,2792
265,0.71,Ideal,E,61.3,55.0,5.72,5.77,3.52,2792
266,0.7,Premium,F,62.1,60.0,5.71,5.65,3.53,2792
267,0.7,Premium,F,60.7,60.0,5.78,5.75,3.5,2792
268,0.76,Premium,H,59.6,57.0,5.91,5.86,3.51,2792
269,0.7,Ideal,F,62.2,56.0,5.73,5.68,3.55,2792
270,0.79,Very Good,G,60.6,57.0,5.98,6.06,3.65,2793
271,0.7,Very Good,E,62.9,57.0,5.66,5.69,3.57,2793
272,0.7,Good,E,64.1,55.0,5.6,5.66,3.61,2793
273,0.76,Ideal,I,61.3,56.0,5.87,5.91,3.61,2793
274,0.73,Ideal,H,62.7,55.0,5.72,5.76,3.6,2793
275,0.79,Very Good,E,63.2,56.0,5.91,5.86,3.72,2794
276,0.71,Very Good,E,60.7,56.0,5.81,5.82,3.53,2795
277,0.81,Premium,I,61.9,60.0,5.91,5.86,3.64,2795
278,0.81,Ideal,F,62.6,55.0,5.92,5.96,3.72,2795
279,0.72,Good,F,60.7,60.0,5.74,5.72,3.48,2795
280,0.72,Premium,D,62.0,60.0,5.73,5.69,3.54,2795
281,0.72,Premium,I,63.0,57.0,5.72,5.7,3.6,2795
283,0.72,Premium,G,62.9,57.0,5.73,5.65,3.58,2795
285,0.73,Good,E,63.2,58.0,5.7,5.76,3.62,2796
286,0.81,Very Good,H,61.3,59.0,5.94,6.01,3.66,2797
287,0.81,Very Good,E,60.3,60.0,6.07,6.1,3.67,2797
288,0.71,Premium,D,62.7,60.0,5.67,5.71,3.57,2797
289,0.71,Premium,D,61.3,58.0,5.73,5.75,3.52,2797
290,0.71,Premium,D,61.6,60.0,5.74,5.69,3.52,2797
291,0.57,Ideal,F,61.9,55.0,5.34,5.35,3.31,2797
292,0.51,Ideal,D,61.7,56.0,5.12,5.16,3.17,2797
293,0.72,Ideal,G,61.9,58.0,5.72,5.75,3.55,2797
294,0.74,Ideal,H,61.8,58.0,5.77,5.81,3.58,2797
295,0.74,Ideal,H,61.6,56.0,5.81,5.82,3.58,2797
297,0.8,Premium,F,61.0,57.0,6.03,6.01,3.67,2797
299,0.8,Very Good,H,63.4,60.0,5.92,5.82,3.72,2797
300,0.77,Ideal,I,61.5,59.0,5.87,5.91,3.62,2798
302,0.82,Ideal,F,62.4,54.0,5.97,6.02,3.74,2799
303,0.78,Ideal,D,61.9,57.0,5.91,5.86,3.64,2799
304,0.6,Very Good,G,61.6,56.0,5.43,5.46,3.35,2800
305,0.9,Good,I,62.2,59.0,6.07,6.11,3.79,2800
306,0.7,Premium,E,62.2,58.0,5.6,5.66,3.5,2800
307,0.9,Very Good,I,61.3,56.0,6.17,6.23,3.8,2800
308,0.83,Ideal,G,62.3,57.0,5.99,6.08,3.76,2800
309,0.83,Ideal,G,61.8,57.0,6.03,6.07,3.74,2800
310,0.83,Very Good,H,62.5,59.0,5.95,6.02,3.74,2800
311,0.74,Premium,G,62.9,60.0,5.74,5.68,3.59,2800
312,0.79,Ideal,I,61.8,59.0,5.92,5.95,3.67,2800
313,0.61,Ideal,G,62.3,56.0,5.43,5.45,3.39,2800
315,0.96,Ideal,F,60.7,55.0,6.37,6.41,3.88,2801
316,0.73,Ideal,F,62.5,55.0,5.8,5.76,3.61,2801
317,0.73,Premium,F,62.7,58.0,5.76,5.7,3.59,2801
318,0.75,Ideal,H,60.4,57.0,5.93,5.96,3.59,2801
319,0.71,Premium,F,62.1,58.0,5.7,5.67,3.53,2801
321,0.71,Good,F,63.8,58.0,5.64,5.61,3.59,2801
322,0.71,Premium,F,62.8,57.0,5.69,5.64,3.56,2801
323,1.04,Premium,G,62.2,58.0,6.46,6.41,4.0,2801
324,1.0,Premium,J,62.3,58.0,6.45,6.34,3.98,2801
325,0.87,Very Good,G,59.9,58.0,6.19,6.23,3.72,2802
326,0.53,Ideal,F,61.9,54.0,5.22,5.25,3.24,2802
327,0.72,Premium,E,63.0,55.0,5.79,5.61,3.59,2802
328,0.72,Premium,F,62.4,58.0,5.83,5.7,3.6,2802
329,0.7,Very Good,F,62.9,58.0,5.63,5.65,3.55,2803
330,0.74,Very Good,E,63.5,56.0,5.74,5.79,3.66,2803
331,0.71,Ideal,G,61.3,56.0,5.75,5.71,3.51,2803
332,0.73,Ideal,E,60.6,54.0,5.84,5.89,3.55,2803
334,0.71,Premium,F,62.6,58.0,5.7,5.67,3.56,2803
336,0.71,Premium,G,62.4,61.0,5.7,5.65,3.54,2803
337,0.77,Premium,G,61.3,57.0,5.93,5.88,3.62,2803
338,0.71,Premium,G,59.9,60.0,5.81,5.77,3.47,2803
339,0.78,Premium,G,60.8,58.0,6.03,5.95,3.64,2803
340,0.71,Very Good,G,63.5,55.0,5.66,5.64,3.59,2803
341,0.91,Ideal,D,62.2,57.0,6.21,6.15,3.85,2803
342,0.71,Very Good,E,63.8,58.0,5.62,5.66,3.6,2804
343,0.71,Very Good,E,64.0,57.0,5.66,5.68,3.63,2804
344,0.8,Very Good,E,62.5,56.0,5.88,5.96,3.7,2804
345,0.7,Very Good,D,62.3,58.0,5.69,5.73,3.56,2804
346,0.72,Ideal,F,61.7,57.0,5.74,5.77,3.55,2804
347,0.72,Very Good,F,62.2,58.0,5.75,5.7,3.56,2804
348,0.82,Ideal,H,61.5,56.0,6.01,6.08,3.72,2804
349,0.7,Ideal,D,61.0,59.0,5.68,5.7,3.47,2804
350,0.72,Ideal,D,62.2,56.0,5.74,5.77,3.58,2804
351,0.72,Ideal,D,61.5,54.0,5.77,5.8,3.56,2804
353,0.74,Premium,F,61.7,58.0,5.85,5.78,3.59,2805
354,0.74,Premium,F,61.9,56.0,5.8,5.77,3.58,2805
355,0.73,Ideal,E,61.8,58.0,5.77,5.81,3.58,2805
357,0.73,Premium,F,62.5,57.0,5.75,5.7,3.58,2805
358,0.72,Ideal,G,62.8,56.0,5.74,5.7,3.59,2805
360,0.82,Good,G,64.0,57.0,5.92,5.89,3.78,2805
361,0.81,Very Good,G,62.5,60.0,5.89,5.94,3.69,2806
362,0.75,Very Good,H,60.6,58.0,5.85,5.9,3.56,2806
363,0.7,Ideal,F,61.6,55.0,5.72,5.74,3.53,2806
364,0.71,Very Good,F,62.2,58.0,5.66,5.72,3.54,2807
365,0.71,Very Good,F,60.0,57.0,5.84,5.9,3.52,2807
366,0.93,Premium,J,61.9,57.0,6.21,6.19,3.84,2807
367,0.8,Very Good,H,62.8,57.0,5.87,5.91,3.7,2808
368,0.7,Very Good,F,62.0,57.0,5.64,5.71,3.52,2808
370,0.75,Very Good,G,63.4,56.0,5.78,5.74,3.65,2808
371,0.58,Ideal,E,60.9,56.0,5.41,5.43,3.3,2808
372,0.73,Very Good,D,63.1,57.0,5.74,5.7,3.61,2808
373,0.81,Very Good,F,63.1,59.0,5.85,5.79,3.67,2809
375,0.71,Premium,F,60.7,54.0,5.84,5.8,3.53,2809
377,0.7,Very Good,F,61.8,56.0,5.63,5.7,3.5,2810
378,0.7,Very Good,F,59.9,60.0,5.77,5.84,3.48,2810
379,0.74,Ideal,D,61.7,55.0,5.81,5.85,3.6,2810
380,0.7,Good,F,62.8,61.0,5.57,5.61,3.51,2810
381,0.8,Good,G,62.7,57.0,5.84,5.93,3.69,2810
382,0.75,Very Good,F,63.4,58.0,5.72,5.76,3.64,2811
383,0.83,Very Good,D,63.5,54.0,5.98,5.95,3.79,2811
386,0.7,Very Good,G,63.0,60.0,5.57,5.64,3.53,2812
387,0.7,Very Good,F,59.5,58.0,5.75,5.85,3.45,2812
388,0.7,Good,E,63.5,59.0,5.49,5.53,3.5,2812
389,0.7,Very Good,F,61.7,58.0,5.63,5.69,3.49,2812
390,0.32,Premium,I,62.7,58.0,4.37,4.34,2.73,554
391,0.32,Premium,I,62.8,58.0,4.39,4.34,2.74,554
392,0.32,Ideal,I,62.4,57.0,4.37,4.35,2.72,554
393,0.32,Premium,I,61.0,59.0,4.39,4.36,2.67,554
394,0.32,Very Good,I,63.1,56.0,4.39,4.36,2.76,554
395,0.32,Ideal,I,60.7,57.0,4.47,4.42,2.7,554
396,0.3,Premium,H,60.9,59.0,4.31,4.29,2.62,554
397,0.3,Premium,H,60.1,55.0,4.41,4.38,2.64,554
398,0.3,Premium,H,62.9,58.0,4.28,4.24,2.68,554
399,0.3,Very Good,H,63.3,56.0,4.29,4.27,2.71,554
400,0.3,Good,H,63.8,55.0,4.26,4.2,2.7,554
401,0.3,Ideal,H,62.9,57.0,4.27,4.22,2.67,554
402,0.3,Very Good,H,63.4,60.0,4.25,4.23,2.69,554
403,0.32,Good,I,63.9,55.0,4.36,4.34,2.78,554
404,0.33,Ideal,H,61.4,56.0,4.85,4.79,2.95,554
405,0.29,Very Good,E,61.9,55.0,4.28,4.33,2.66,555
406,0.29,Very Good,E,62.4,55.0,4.2,4.25,2.63,555
407,0.31,Very Good,F,61.8,58.0,4.32,4.35,2.68,555
408,0.34,Ideal,H,61.5,56.0,4.47,4.5,2.76,555
409,0.34,Ideal,H,60.4,57.0,4.54,4.57,2.75,555
410,0.34,Ideal,I,61.8,55.0,4.48,4.52,2.78,555
411,0.34,Ideal,I,62.0,56.0,4.5,4.53,2.8,555
412,0.3,Ideal,G,62.3,56.0,4.29,4.31,2.68,555
413,0.29,Ideal,F,61.6,56.0,4.26,4.31,2.64,555
414,0.35,Ideal,G,60.6,56.0,4.56,4.58,2.77,555
416,0.32,Very Good,F,61.4,58.0,4.37,4.42,2.7,556
417,0.36,Ideal,I,61.9,56.0,4.54,4.57,2.82,556
418,0.3,Ideal,G,62.0,56.0,4.28,4.3,2.66,556
419,0.26,Ideal,E,61.5,57.0,4.09,4.12,2.52,556
420,0.7,Very Good,F,62.3,58.0,5.64,5.72,3.54,2812
421,0.7,Very Good,F,60.9,61.0,5.66,5.71,3.46,2812
422,0.71,Ideal,D,62.4,57.0,5.69,5.72,3.56,2812
425,0.51,Ideal,F,62.0,57.0,5.15,5.11,3.18,2812
426,0.91,Premium,G,59.8,58.0,6.3,6.29,3.77,2813
427,0.84,Very Good,E,63.4,55.0,6.0,5.95,3.79,2813
428,0.91,Good,I,64.3,58.0,6.09,6.05,3.9,2813
429,0.76,Premium,E,62.2,59.0,5.86,5.81,3.63,2814
430,0.76,Ideal,E,61.7,57.0,5.88,5.85,3.62,2814
431,0.75,Premium,E,61.1,59.0,5.86,5.83,3.57,2814
432,0.55,Very Good,D,61.5,56.0,5.23,5.27,3.23,2815
434,0.74,Premium,G,61.7,58.0,5.79,5.81,3.58,2815
435,0.7,Ideal,H,60.4,56.0,5.75,5.81,3.49,2815
436,0.7,Ideal,H,61.4,56.0,5.7,5.76,3.52,2815
437,0.7,Ideal,H,61.5,55.0,5.73,5.79,3.54,2815
438,0.7,Ideal,H,61.4,56.0,5.72,5.77,3.53,2815
441,0.89,Premium,H,60.2,59.0,6.26,6.23,3.76,2815
444,1.02,Premium,G,60.3,58.0,6.55,6.5,3.94,2815
445,0.78,Very Good,I,61.4,56.0,5.91,5.95,3.64,2816
446,0.61,Ideal,G,60.1,57.0,5.52,5.54,3.32,2816
447,0.71,Good,D,63.4,55.0,5.61,5.69,3.58,2816
448,0.78,Premium,F,61.5,59.0,5.96,5.88,3.64,2816
449,0.87,Ideal,H,62.7,56.0,6.16,6.13,3.85,2816
